OTU	Cluster	IndVal	Prob	Domain	Phylum	Class	Order	Family	Genus
Otu00003	1	0.90133279425514	0.001	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_unclassified
Otu00010	1	0.98358287446183	0.001	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter
Otu00011	1	0.654673285237997	0.001	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu00014	1	0.815444272563609	0.001	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacteraceae_unclassified
Otu00019	1	0.942944238062769	0.001	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Sediminibacterium
Otu00022	1	0.873589829205806	0.001	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu00034	1	0.927852530612528	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus
Otu00035	1	0.6281687477639	0.001	Bacteria	Cyanobacteria	Cyanobacteria	Family_II	GpIIa	GpIIa_unclassified
Otu00036	1	0.636153358736133	0.001	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Cytophagaceae_unclassified
Otu00039	1	0.809225420936463	0.001	Bacteria	Cyanobacteria	Cyanobacteria	Family_I	GpI	GpI_unclassified
Otu00041	1	0.930964205489678	0.001	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiales_unclassified	Verrucomicrobiales_unclassified
Otu00044	1	0.679180721595209	0.001	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Cerasicoccus
Otu00049	1	0.923739240213744	0.001	Bacteria	Cyanobacteria	Cyanobacteria	Cyanobacteria_unclassified	Cyanobacteria_unclassified	Cyanobacteria_unclassified
Otu00050	1	0.898725785315017	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified
Otu00051	1	0.772828579948761	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_unclassified
Otu00057	1	0.990459497614439	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillaceae_unclassified
Otu00058	1	0.569786193228632	0.008	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter
Otu00059	1	0.416289945169685	0.006	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga
Otu00060	1	0.905076574232217	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas
Otu00061	1	0.815958621724159	0.001	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobiaceae_unclassified
Otu00062	1	0.928747432620087	0.001	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobiaceae_unclassified
Otu00071	1	0.862019305545625	0.001	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu00072	1	0.865152278418632	0.001	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobiaceae_unclassified
Otu00076	1	0.588773008108123	0.002	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Burkholderiales_unclassified
Otu00079	1	0.683877516421848	0.001	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified
Otu00083	1	0.47402631725182	0.001	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Runella
Otu00090	1	0.564453227171937	0.001	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
Otu00093	1	0.86234262338315	0.001	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
Otu00094	1	0.691050854710541	0.001	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Polynucleobacter
Otu00095	1	0.90050359090886	0.001	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter
Otu00101	1	0.50091201807719	0.001	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutaceae_unclassified
Otu00103	1	0.823511363775849	0.001	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu00104	1	0.605031752250249	0.001	Bacteria	Verrucomicrobia	Subdivision3	Subdivision3_unclassified	Subdivision3_unclassified	Subdivision3_unclassified
Otu00114	1	0.755441142461444	0.001	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified
Otu00118	1	0.980893248267499	0.001	Bacteria	Verrucomicrobia	Spartobacteria	Spartobacteria_unclassified	Spartobacteria_unclassified	Spartobacteria_unclassified
Otu00119	1	0.756982876887411	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillaceae_unclassified
Otu00123	1	0.86262785325663	0.001	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Burkholderiales_unclassified
Otu00125	1	0.884086635988895	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Roseomonas
Otu00130	1	0.73381684974333	0.001	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified	Alphaproteobacteria_unclassified
Otu00138	1	0.69538962746154	0.001	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Chitinophagaceae_unclassified
Otu00140	1	0.954290726040003	0.001	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu00141	1	0.822834721075041	0.001	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu00143	1	0.802405699979023	0.001	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified
Otu00145	1	0.862020314236541	0.026	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sandarakinorhabdus
